note_id,note_text
"00001:47881:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47881:8","This stop for [Macquarie Shopping Center]"
"00003:47881:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47893:1","Train on [Platform 3] departing for [Sydenham]"
"00004:47893:10","This stop for [Macquarie Shopping Center]"
"00003:47893:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47896:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47896:12","This stop for [Macquarie Shopping Center]"
"00003:47896:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47898:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47898:12","This stop for [Macquarie Shopping Center]"
"00003:47898:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47902:1","Train on [Platform 2] departing for [Epping]"
"00003:47902:9","Train terminates at this stop [Epping], please disembark"
"00001:47909:1","Train on [Platform 2] departing for [Chatswood]"
"00004:47909:10","This stop for [Macquarie Shopping Center]"
"00003:47909:13","Train terminates at this stop [Chatswood], please disembark"
"00001:47914:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47914:10","This stop for [Macquarie Shopping Center]"
"00003:47914:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47917:1","Train on [Platform 2] departing for [Epping]"
"00003:47917:9","Train terminates at this stop [Epping], please disembark"
"00001:47918:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47918:10","This stop for [Macquarie Shopping Center]"
"00003:47918:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47932:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47932:8","This stop for [Macquarie Shopping Center]"
"00003:47932:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47935:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47935:8","This stop for [Macquarie Shopping Center]"
"00003:47935:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47938:1","Train on [Platform 4] departing for [Tallawong]"
"00004:47938:8","This stop for [Macquarie Shopping Center]"
"00003:47938:17","Train terminates at this stop [Tallawong], please disembark"
"00001:47941:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47941:12","This stop for [Macquarie Shopping Center]"
"00003:47941:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47952:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47952:12","This stop for [Macquarie Shopping Center]"
"00003:47952:21","Train terminates at this stop [Tallawong], please disembark"
"00001:47955:1","Train on [Platform 2] departing for [Martin Place]"
"00004:47955:10","This stop for [Macquarie Shopping Center]"
"00003:47955:17","Train terminates at this stop [Martin Place], please disembark"
"00001:47956:1","Train on [Platform 2] departing for [Sydenham]"
"00004:47956:10","This stop for [Macquarie Shopping Center]"
"00003:47956:21","Train terminates at this stop [Sydenham], please disembark"
"00001:47957:1","Train on [Platform 1] departing for [Tallawong]"
"00004:47957:12","This stop for [Macquarie Shopping Center]"
"00003:47957:21","Train terminates at this stop [Tallawong], please disembark"
"00001:48000:1","Train on [Platform 1] departing for [Tallawong]"
"00004:48000:12","This stop for [Macquarie Shopping Center]"
"00003:48000:21","Train terminates at this stop [Tallawong], please disembark"
"00001:48018:1","Train on [Platform 2] departing for [Sydenham]"
"00004:48018:10","This stop for [Macquarie Shopping Center]"
"00003:48018:21","Train terminates at this stop [Sydenham], please disembark"
"00001:48034:1","Train on [Platform 2] departing for [Sydenham]"
"00004:48034:10","This stop for [Macquarie Shopping Center]"
"00003:48034:21","Train terminates at this stop [Sydenham], please disembark"
"00001:48036:1","Train on [Platform 2] departing for [Tallawong]"
"00004:48036:12","This stop for [Macquarie Shopping Center]"
"00003:48036:21","Train terminates at this stop [Tallawong], please disembark"
"00001:3605810","LAST TRAIN: Tallawong to Sydenham"
"00001:3606977","LAST TRAIN: Martin Place to Tallawong"
"00001:3607308","LAST TRAIN: Tallawong to Martin Place"
"00001:3609370","LAST TRAIN: Central to Martin Place"
"00001:3610272","LAST TRAIN: Martin Place to Central"
"00001:3639331","LAST TRAIN: Sydenham to Tallawong"
"00001:3654930","LAST TRAIN: Sydenham to Tallawong"
"00001:3655613","LAST TRAIN: Tallawong to Sydenham"
"00001:3673249","LAST TRAIN: Tallawong to Sydenham"
"00001:3673285","LAST TRAIN: Tallawong to Macquarie Park"
"00001:3673716","LAST TRAIN: Tallawong to Sydenham"
"00001:3674032","LAST TRAIN: Tallawong to Chatswood"
"00001:3674056","LAST TRAIN: Central to Martin Place"
"00001:3674417","LAST TRAIN: Sydenham to Tallawong"
"00001:3674553","LAST TRAIN: Tallawong to Sydenham"
"00001:3674736","LAST TRAIN: Tallawong to Chatswood"
"00001:3675091","LAST TRAIN: Tallawong to Epping"
"00001:3675098","LAST TRAIN: Tallawong to Sydenham"
"00001:3675253","LAST TRAIN: Sydenham to Tallawong"
"00001:3675701","LAST TRAIN: Sydenham to Tallawong"
"00001:3676126","LAST TRAIN: Sydenham to Tallawong"
"00001:3676559","LAST TRAIN: Sydenham to Tallawong"
"00001:3676730","LAST TRAIN: Tallawong to Epping"
"00001:3676732","LAST TRAIN: Tallawong to Martin Place"
"00001:3676803","LAST TRAIN: Tallawong to Chatswood"
"00001:3677012","LAST TRAIN: Tallawong to Sydenham"
"00001:3677016","LAST TRAIN: Sydenham to Tallawong"
"00001:3677069","LAST TRAIN: Tallawong to Martin Place"
"00001:3677503","LAST TRAIN: Tallawong to Martin Place"
"00001:3677560","LAST TRAIN: Central to Martin Place"
"00001:3677596","LAST TRAIN: Martin Place to Tallawong"
"00001:3677612","LAST TRAIN: Tallawong to Sydenham"
"00001:3677697","LAST TRAIN: Martin Place to Central"
"00001:3677900","LAST TRAIN: Martin Place to Central"
"00001:3677918","LAST TRAIN: Tallawong to Chatswood"
"00001:3678043","LAST TRAIN: Tallawong to Chatswood"
"00001:3678248","LAST TRAIN: Sydenham to Tallawong"
"00001:3678308","LAST TRAIN: Tallawong to Sydenham"
"00001:3678687","LAST TRAIN: Sydenham to Tallawong"
"00001:3678773","LAST TRAIN: Tallawong to Sydenham"
"00001:3678788","LAST TRAIN: Tallawong to Sydenham"
"00001:3678789","LAST TRAIN: Tallawong to Sydenham"
"00001:3679371","LAST TRAIN: Central to Martin Place"
"00001:3679443","LAST TRAIN: Martin Place to Central"
"00001:3679474","LAST TRAIN: Tallawong to Sydenham"
"00001:3679757","LAST TRAIN: Martin Place to Central"
"00001:3679836","LAST TRAIN: Sydenham to Tallawong"
"00001:3679987","LAST TRAIN: Tallawong to Martin Place"
"00001:3680260","LAST TRAIN: Sydenham to Tallawong"
"00001:3680322","LAST TRAIN: Sydenham to Tallawong"
"00001:3680583","LAST TRAIN: Martin Place to Tallawong"
"00001:3680777","LAST TRAIN: Central to Martin Place"
"00001:3680904","LAST TRAIN: Tallawong to Sydenham"
"00001:3681865","LAST TRAIN: Tallawong to Sydenham"
"00001:3681919","LAST TRAIN: Tallawong to Epping"
"00001:3682251","LAST TRAIN: Sydenham to Tallawong"
"00001:3682359","LAST TRAIN: Tallawong to Sydenham"
"00001:3682464","LAST TRAIN: Sydenham to Tallawong"
"00001:3682548","LAST TRAIN: Sydenham to Tallawong"
"00001:3682828","LAST TRAIN: Martin Place to Tallawong"
"00001:3683813","LAST TRAIN: Tallawong to Epping"
"00001:3684293","LAST TRAIN: Martin Place to Tallawong"
